Timestamp,Altitude,Speed,Track,squawk,Latitude,Longitude,Distance
2025-04-22T08:13:43Z,16625,386,126,1000,43.56042,-2.77986,53.15972426014847
2025-04-22T08:14:15Z,15675,377,126,1000,43.52573,-2.7158,48.62027967994575
2025-04-22T08:14:47Z,14775,370,126,1000,43.49368,-2.65639,44.84916892240682
2025-04-22T08:15:19Z,13875,366,125,1000,43.46112,-2.5946,41.57110740932469
2025-04-22T08:15:41Z,13275,355,138,1000,43.43925,-2.55688,39.69392913684634
2025-04-22T08:15:43Z,13225,352,141,1000,43.43701,-2.55426,39.496420393125014
2025-04-22T08:15:45Z,13150,350,144,1000,43.43362,-2.55081,39.191344820057935
2025-04-22T08:15:47Z,13100,348,147,1000,43.43079,-2.54832,38.931784118694154
2025-04-22T08:15:49Z,13050,347,150,1000,43.4284,-2.54641,38.710304402099894
2025-04-22T08:15:51Z,13000,345,154,1000,43.42495,-2.54399,38.3859643863546
2025-04-22T08:15:53Z,12950,343,156,1000,43.42236,-2.54244,38.13843476420122
2025-04-22T08:15:55Z,12875,341,158,1000,43.41843,-2.5402,37.762392560302075
2025-04-22T08:15:58Z,12825,340,159,1000,43.4156,-2.53869,37.49076845611816
2025-04-22T08:16:00Z,12775,339,159,1000,43.41179,-2.53676,37.124541682311175
2025-04-22T08:16:02Z,12725,338,160,1000,43.40881,-2.53529,36.83853442583124
2025-04-22T08:16:04Z,12650,336,160,1000,43.40559,-2.53372,36.53037192752312
2025-04-22T08:16:06Z,12600,335,160,1000,43.40295,-2.53248,36.27763860720471
2025-04-22T08:16:08Z,12550,334,160,1000,43.39934,-2.53075,35.93431991940804
2025-04-22T08:16:10Z,12500,333,160,1000,43.39623,-2.52927,35.63971647441779
2025-04-22T08:16:13Z,12450,332,161,1000,43.39334,-2.5279,35.36701822904376
2025-04-22T08:16:15Z,12375,331,160,1000,43.39,-2.52635,35.05248521147731
2025-04-22T08:16:17Z,12325,330,161,1000,43.38697,-2.52489,34.76988879863092
2025-04-22T08:16:50Z,11500,315,161,1000,43.34046,-2.50331,30.599859818390566
2025-04-22T08:17:03Z,11200,310,161,1000,43.32271,-2.4953,29.11263538448569
2025-04-22T08:17:16Z,10850,303,161,1000,43.30452,-2.48703,27.670163766164606
2025-04-22T08:17:29Z,10550,298,161,1000,43.2872,-2.47899,26.391014159116665
2025-04-22T08:17:42Z,10125,288,161,0,43.27061,-2.47148,25.249287447647934
2025-04-22T08:17:55Z,9525,285,161,0,43.25476,-2.46427,24.255726946656512
2025-04-22T08:18:08Z,8950,286,160,0,43.23874,-2.45675,23.372244530202366
2025-04-22T08:18:23Z,8300,289,160,0,43.21966,-2.44753,22.49760843602422
2025-04-22T08:18:36Z,7750,289,172,0,43.20257,-2.44093,21.771062675639
2025-04-22T08:18:38Z,7650,288,176,0,43.19992,-2.44053,21.63045809869699
2025-04-22T08:18:41Z,7575,288,179,0,43.19722,-2.44047,21.466928937714858
2025-04-22T08:18:43Z,7475,287,184,0,43.19431,-2.44063,21.27867651348323
2025-04-22T08:18:45Z,7375,287,188,0,43.19165,-2.44101,21.093402238096484
2025-04-22T08:18:47Z,7275,287,191,0,43.18849,-2.44178,20.85459000176167
2025-04-22T08:18:49Z,7150,286,196,0,43.18542,-2.44286,20.602670049485457
2025-04-22T08:18:51Z,7075,286,199,0,43.18341,-2.44375,20.42651518914012
2025-04-22T08:18:53Z,6975,286,203,0,43.18018,-2.44557,20.118426351590607
2025-04-22T08:18:56Z,6875,285,208,0,43.17785,-2.44721,19.874724765557296
2025-04-22T08:18:58Z,6800,285,212,0,43.17553,-2.44904,19.619318866339466
2025-04-22T08:19:00Z,6675,284,216,0,43.17292,-2.45152,19.303292441496648
2025-04-22T08:19:02Z,6625,283,220,0,43.17133,-2.45329,19.092820650506926
2025-04-22T08:19:04Z,6500,283,223,0,43.16901,-2.45616,18.765765625203016
2025-04-22T08:19:06Z,6425,282,228,0,43.16719,-2.45878,18.48314486820018
2025-04-22T08:19:08Z,6325,281,232,0,43.16552,-2.46153,18.199134650310516
2025-04-22T08:19:10Z,6225,281,236,0,43.16354,-2.46541,17.817852387581063
2025-04-22T08:19:13Z,6125,279,241,0,43.16212,-2.46865,17.51138838323171
2025-04-22T08:19:15Z,6050,278,246,0,43.16095,-2.47186,17.219781044956775
2025-04-22T08:19:17Z,5975,275,249,0,43.15993,-2.47537,16.914102908076288
2025-04-22T08:19:19Z,5925,273,254,0,43.15915,-2.47882,16.62508677260595
2025-04-22T08:19:21Z,5850,271,256,0,43.15835,-2.48311,16.274713524894533
2025-04-22T08:19:24Z,5825,269,257,0,43.15783,-2.48644,16.0083093711481
2025-04-22T08:19:26Z,5775,266,258,0,43.15718,-2.49064,15.673135082984434
2025-04-22T08:19:28Z,5775,262,261,0,43.15676,-2.49377,15.427187105818948
2025-04-22T08:19:30Z,5750,258,264,0,43.1564,-2.49786,15.116662453204047
2025-04-22T08:19:33Z,5750,255,267,0,43.15625,-2.50142,14.856216081426941
2025-04-22T08:19:35Z,5750,250,270,0,43.15625,-2.50397,14.676318554783899
